Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Faculty/Course Coordinator Allocation/button_CO-PO Mapping""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:29,2021-03-08 18:18:30,0.844s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:18:30,2021-03-08 18:18:30,0.630s,PASSED
"click(findTestObject(""Object Repository/Faculty/Course Coordinator Allocation/button_Question Paper Entry""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:30,2021-03-08 18:18:31,0.827s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:18:31,2021-03-08 18:18:32,0.633s,PASSED
"click(findTestObject(""Object Repository/Faculty/Course Coordinator Allocation/button_Reports""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:32,2021-03-08 18:18:33,0.828s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:18:33,2021-03-08 18:18:33,0.643s,PASSED
"click(findTestObject(""Object Repository/Faculty/Notifications/svg_Dr. P.C. Senthil Mahesh_svg-inline--fa _bc1b97""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:33,2021-03-08 18:18:34,0.836s,PASSED
"click(findTestObject(""Object Repository/Faculty/Notifications/button_logout""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:34,2021-03-08 18:18:35,1.001s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-03-08 18:18:35,2021-03-08 18:18:36,0.710s,PASSED
,,,,,,,
Test Cases/Web/Faculty/Class Schedule,Chrome 87.0.4280.141,Class Schedule,Class Schedule,2021-03-08 18:18:36,2021-03-08 18:19:02,26.177s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,,2021-03-08 18:18:36,2021-03-08 18:18:37,1.264s,PASSED
"navigateToUrl(""https://oecfrontend.vercel.app/"")",Chrome 87.0.4280.141,,,2021-03-08 18:18:37,2021-03-08 18:18:40,2.323s,PASSED
"setText(findTestObject(""Object Repository/Faculty/Class Schedule/input_Faculty Login_username""), ""AITS051002"")",Chrome 87.0.4280.141,,,2021-03-08 18:18:40,2021-03-08 18:18:41,1.679s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Faculty/Class Schedule/input_Faculty Login_password""), ""/HuGEUzXDLUt1zEZ6TwafQ=="")",Chrome 87.0.4280.141,,,2021-03-08 18:18:41,2021-03-08 18:18:43,1.368s,PASSED
"click(findTestObject(""Object Repository/Faculty/Class Schedule/button_Login""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:43,2021-03-08 18:18:44,0.868s,PASSED
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:44,2021-03-08 18:18:45,1.307s,PASSED
"click(findTestObject(""Faculty/Imports/div_Role ()AdminFacultyHOD""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:45,2021-03-08 18:18:46,0.966s,PASSED
